"ACDT","Australian Central Daylight Time"
"ACST","Australian Central Standard Time"
"ACT","ASEAN Common Time"
"ADT","Atlantic Daylight Time"
"AEDT","Australian Eastern Daylight Time"
"AEST","Australian Eastern Standard Time"
"AFT","Afghanistan Time"
"AKDT","Alaska Daylight Time"
"AKST","Alaska Standard Time"
"AMST","Amazon Summer Time (Brazil)[1]"
"AMST","Armenia Summer Time"
"AMT","Amazon Time (Brazil)[2]"
"AMT","Armenia Time"
"ART","Argentina Time"
"AST","Arabia Standard Time"
"AST","Atlantic Standard Time"
"AWDT","Australian Western Daylight Time"
"AWST","Australian Western Standard Time"
"AZOST","Azores Standard Time"
"AZT","Azerbaijan Time"
"BDT","Brunei Time"
"BIOT","British Indian Ocean Time"
"BIT","Baker Island Time"
"BOT","Bolivia Time"
"BRT","Brasilia Time"
"BST","Bangladesh Standard Time"
"BST","British Summer Time (British Standard Time from Feb 1968 to Oct 1971)"
"BTT","Bhutan Time"
"CAT","Central Africa Time"
"CCT","Cocos Islands Time"
"CDT","Central Daylight Time (North America)"
"CDT","Cuba Daylight Time[3]"
"CEDT","Central European Daylight Time"
"CEST","Central European Summer Time (Cf. HAEC)"
"CET","Central European Time"
"CHADT","Chatham Daylight Time"
"CHAST","Chatham Standard Time"
"CHOT","Choibalsan"
"ChST","Chamorro Standard Time"
"CHUT","Chuuk Time"
"CIST","Clipperton Island Standard Time"
"CIT","Central Indonesia Time"
"CKT","Cook Island Time"
"CLST","Chile Summer Time"
"CLT","Chile Standard Time"
"COST","Colombia Summer Time"
"COT","Colombia Time"
"CST","Central Standard Time (North America)"
"CST","China Standard Time"
"CST","Central Standard Time (Australia)"
"CST","Central Summer Time (Australia)"
"CST","Cuba Standard Time"
"CT","China time"
"CVT","Cape Verde Time"
"CWST","Central Western Standard Time (Australia) unofficial"
"CXT","Christmas Island Time"
"DAVT","Davis Time"
"DDUT","Dumont d'Urville Time"
"DFT","AIX specific equivalent of Central European Time[4]"
"EASST","Easter Island Standard Summer Time"
"EAST","Easter Island Standard Time"
"EAT","East Africa Time"
"ECT","Eastern Caribbean Time (does not recognise DST)"
"ECT","Ecuador Time"
"EDT","Eastern Daylight Time (North America)"
"EEDT","Eastern European Daylight Time"
"EEST","Eastern European Summer Time"
"EET","Eastern European Time"
"EGST","Eastern Greenland Summer Time"
"EGT","Eastern Greenland Time"
"EIT","Eastern Indonesian Time"
"EST","Eastern Standard Time (North America)"
"EST","Eastern Standard Time (Australia)"
"FET","Further-eastern European Time"
"FJT","Fiji Time"
"FKST","Falkland Islands Standard Time"
"FKST","Falkland Islands Summer Time"
"FKT","Falkland Islands Time"
"FNT","Fernando de Noronha Time"
"GALT","Galapagos Time"
"GAMT","Gambier Islands"
"GET","Georgia Standard Time"
"GFT","French Guiana Time"
"GILT","Gilbert Island Time"
"GIT","Gambier Island Time"
"GMT","Greenwich Mean Time"
"GST","South Georgia and the South Sandwich Islands"
"GST","Gulf Standard Time"
"GYT","Guyana Time"
"HADT","Hawaii-Aleutian Daylight Time"
"HAEC","Heure Avancée d'Europe Centrale francised name for CEST"
"HAST","Hawaii-Aleutian Standard Time"
"HKT","Hong Kong Time"
"HMT","Heard and McDonald Islands Time"
"HOVT","Khovd Time"
"HST","Hawaii Standard Time"
"ICT","Indochina Time"
"IDT","Israel Daylight Time"
"IOT","Indian Ocean Time"
"IRDT","Iran Daylight Time"
"IRKT","Irkutsk Time"
"IRST","Iran Standard Time"
"IST","Indian Standard Time"
"IST","Irish Standard Time[5]"
"IST","Israel Standard Time"
"JST","Japan Standard Time"
"KGT","Kyrgyzstan time"
"KOST","Kosrae Time"
"KRAT","Krasnoyarsk Time"
"KST","Korea Standard Time"
"LHST","Lord Howe Standard Time"
"LHST","Lord Howe Summer Time"
"LINT","Line Islands Time"
"MAGT","Magadan Time"
"MART","Marquesas Islands Time"
"MAWT","Mawson Station Time"
"MDT","Mountain Daylight Time (North America)"
"MET","Middle European Time Same zone as CET"
"MEST","Middle European Saving Time Same zone as CEST"
"MHT","Marshall Islands"
"MIST","Macquarie Island Station Time"
"MIT","Marquesas Islands Time"
"MMT","Myanmar Time"
"MSK","Moscow Time"
"MST","Malaysia Standard Time"
"MST","Mountain Standard Time (North America)"
"MST","Myanmar Standard Time"
"MUT","Mauritius Time"
"MVT","Maldives Time"
"MYT","Malaysia Time"
"NCT","New Caledonia Time"
"NDT","Newfoundland Daylight Time"
"NFT","Norfolk Time"
"NPT","Nepal Time"
"NST","Newfoundland Standard Time"
"NT","Newfoundland Time"
"NUT","Niue Time"
"NZDT","New Zealand Daylight Time"
"NZST","New Zealand Standard Time"
"OMST","Omsk Time"
"ORAT","Oral Time"
"PDT","Pacific Daylight Time (North America)"
"PET","Peru Time"
"PETT","Kamchatka Time"
"PGT","Papua New Guinea Time"
"PHOT","Phoenix Island Time"
"PHT","Philippine Time"
"PKT","Pakistan Standard Time"
"PMDT","Saint Pierre and Miquelon Daylight time"
"PMST","Saint Pierre and Miquelon Standard Time"
"PONT","Pohnpei Standard Time"
"PST","Pacific Standard Time (North America)"
"PYST","Paraguay Summer Time (South America)[6]"
"PYT","Paraguay Time (South America)[7]"
"RET","Réunion Time"
"ROTT","Rothera Research Station Time"
"SAKT","Sakhalin Island time"
"SAMT","Samara Time"
"SAST","South African Standard Time"
"SBT","Solomon Islands Time"
"SCT","Seychelles Time"
"SGT","Singapore Time"
"SLST","Sri Lanka Time"
"SRT","Suriname Time"
"SST","Samoa Standard Time"
"SST","Singapore Standard Time"
"SYOT","Showa Station Time"
"TAHT","Tahiti Time"
"THA","Thailand Standard Time"
"TFT","Indian/Kerguelen"
"TJT","Tajikistan Time"
"TKT","Tokelau Time"
"TLT","Timor Leste Time"
"TMT","Turkmenistan Time"
"TOT","Tonga Time"
"TVT","Tuvalu Time"
"UCT","Coordinated Universal Time"
"ULAT","Ulaanbaatar Time"
"UTC","Coordinated Universal Time"
"UYST","Uruguay Summer Time"
"UYT","Uruguay Standard Time"
"UZT","Uzbekistan Time"
"VET","Venezuelan Standard Time"
"VLAT","Vladivostok Time"
"VOLT","Volgograd Time"
"VOST","Vostok Station Time"
"VUT","Vanuatu Time"
"WAKT","Wake Island Time"
"WAST","West Africa Summer Time"
"WAT","West Africa Time"
"WEDT","Western European Daylight Time"
"WEST","Western European Summer Time"
"WET","Western European Time"
"WST","Western Standard Time"
"YAKT","Yakutsk Time"
"YEKT","Yekaterinburg Time"
"Z","Zulu Time (Coordinated Universal Time)"
